 # checking YNOT formulat for circumference of an ellipse
 # elliptical radisu (eta), semi-focal, semi-major, semi-minor, circumference
  0.00000000000000E+000  0.00000000000000E+000  0.00000000000000E+000
  0.00000000000000E+000  1.00000000000000E+000  4.00000000000000E+000
  0.00000000000000E+000  2.00000000000000E+000  8.00000000000000E+000
  0.00000000000000E+000  3.00000000000000E+000  1.20000000000000E+001
  0.00000000000000E+000  4.00000000000000E+000  1.60000000000000E+001
  0.00000000000000E+000  5.00000000000000E+000  2.00000000000000E+001
  0.00000000000000E+000  6.00000000000000E+000  2.40000000000000E+001
  0.00000000000000E+000  7.00000000000000E+000  2.80000000000000E+001
  0.00000000000000E+000  8.00000000000000E+000  3.20000000000000E+001
  0.00000000000000E+000  9.00000000000000E+000  3.60000000000000E+001



  1.25000000000000E-001  0.00000000000000E+000  4.90873852123405E-002
  1.25000000000000E-001  1.00000000000000E+000  4.13762593696235E+000
  1.25000000000000E-001  2.00000000000000E+000  8.27525187392470E+000
  1.25000000000000E-001  3.00000000000000E+000  1.24128778108870E+001
  1.25000000000000E-001  4.00000000000000E+000  1.65505037478494E+001
  1.25000000000000E-001  5.00000000000000E+000  2.06881296848117E+001
  1.25000000000000E-001  6.00000000000000E+000  2.48257556217741E+001
  1.25000000000000E-001  7.00000000000000E+000  2.89633815587364E+001
  1.25000000000000E-001  8.00000000000000E+000  3.31010074956988E+001
  1.25000000000000E-001  9.00000000000000E+000  3.72386334326611E+001



  2.50000000000000E-001  0.00000000000000E+000  1.96349540849362E-001
  2.50000000000000E-001  1.00000000000000E+000  4.42988649624799E+000
  2.50000000000000E-001  2.00000000000000E+000  8.85977299249597E+000
  2.50000000000000E-001  3.00000000000000E+000  1.32896594887440E+001
  2.50000000000000E-001  4.00000000000000E+000  1.77195459849919E+001
  2.50000000000000E-001  5.00000000000000E+000  2.21494324812399E+001
  2.50000000000000E-001  6.00000000000000E+000  2.65793189774879E+001
  2.50000000000000E-001  7.00000000000000E+000  3.10092054737359E+001
  2.50000000000000E-001  8.00000000000000E+000  3.54390919699839E+001
  2.50000000000000E-001  9.00000000000000E+000  3.98689784662319E+001



  3.75000000000000E-001  0.00000000000000E+000  4.41786466911065E-001
  3.75000000000000E-001  1.00000000000000E+000  4.84318788024250E+000
  3.75000000000000E-001  2.00000000000000E+000  9.68637576048499E+000
  3.75000000000000E-001  3.00000000000000E+000  1.45295636407275E+001
  3.75000000000000E-001  4.00000000000000E+000  1.93727515209700E+001
  3.75000000000000E-001  5.00000000000000E+000  2.42159394012125E+001
  3.75000000000000E-001  6.00000000000000E+000  2.90591272814550E+001
  3.75000000000000E-001  7.00000000000000E+000  3.39023151616975E+001
  3.75000000000000E-001  8.00000000000000E+000  3.87455030419400E+001
  3.75000000000000E-001  9.00000000000000E+000  4.35886909221824E+001



  5.00000000000000E-001  0.00000000000000E+000  7.85398163397448E-001
  5.00000000000000E-001  1.00000000000000E+000  5.36679923525628E+000
  5.00000000000000E-001  2.00000000000000E+000  1.07335984705126E+001
  5.00000000000000E-001  3.00000000000000E+000  1.61003977057689E+001
  5.00000000000000E-001  4.00000000000000E+000  2.14671969410251E+001
  5.00000000000000E-001  5.00000000000000E+000  2.68339961762814E+001
  5.00000000000000E-001  6.00000000000000E+000  3.22007954115377E+001
  5.00000000000000E-001  7.00000000000000E+000  3.75675946467940E+001
  5.00000000000000E-001  8.00000000000000E+000  4.29343938820503E+001
  5.00000000000000E-001  9.00000000000000E+000  4.83011931173066E+001



  6.25000000000000E-001  0.00000000000000E+000  1.22718463030851E+000
  6.25000000000000E-001  1.00000000000000E+000  5.99798903095917E+000
  6.25000000000000E-001  2.00000000000000E+000  1.19959780619183E+001
  6.25000000000000E-001  3.00000000000000E+000  1.79939670928775E+001
  6.25000000000000E-001  4.00000000000000E+000  2.39919561238367E+001
  6.25000000000000E-001  5.00000000000000E+000  2.99899451547959E+001
  6.25000000000000E-001  6.00000000000000E+000  3.59879341857550E+001
  6.25000000000000E-001  7.00000000000000E+000  4.19859232167142E+001
  6.25000000000000E-001  8.00000000000000E+000  4.79839122476734E+001
  6.25000000000000E-001  9.00000000000000E+000  5.39819012786325E+001



  7.50000000000000E-001  0.00000000000000E+000  1.76714586764426E+000
  7.50000000000000E-001  1.00000000000000E+000  6.73925448761819E+000
  7.50000000000000E-001  2.00000000000000E+000  1.34785089752364E+001
  7.50000000000000E-001  3.00000000000000E+000  2.02177634628546E+001
  7.50000000000000E-001  4.00000000000000E+000  2.69570179504728E+001
  7.50000000000000E-001  5.00000000000000E+000  3.36962724380910E+001
  7.50000000000000E-001  6.00000000000000E+000  4.04355269257092E+001
  7.50000000000000E-001  7.00000000000000E+000  4.71747814133274E+001
  7.50000000000000E-001  8.00000000000000E+000  5.39140359009455E+001
  7.50000000000000E-001  9.00000000000000E+000  6.06532903885637E+001



  8.75000000000000E-001  0.00000000000000E+000  2.40528187540469E+000
  8.75000000000000E-001  1.00000000000000E+000  7.59713156551553E+000
  8.75000000000000E-001  2.00000000000000E+000  1.51942631310311E+001
  8.75000000000000E-001  3.00000000000000E+000  2.27913946965466E+001
  8.75000000000000E-001  4.00000000000000E+000  3.03885262620621E+001
  8.75000000000000E-001  5.00000000000000E+000  3.79856578275776E+001
  8.75000000000000E-001  6.00000000000000E+000  4.55827893930932E+001
  8.75000000000000E-001  7.00000000000000E+000  5.31799209586087E+001
  8.75000000000000E-001  8.00000000000000E+000  6.07770525241242E+001
  8.75000000000000E-001  9.00000000000000E+000  6.83741840896397E+001



